,Unnamed: 0,clip_name,clip_relative_path,clip_output_path,export_status,part_index,part_count,observation_id,group_name,phase,day,pen,obs_date_raw,subject,modifiers,interval_start_obs_sec,interval_end_obs_sec,part_start_obs_sec,part_end_obs_sec,source_video_path,source_video_basename,source_segment_obs_start_sec,source_segment_obs_end_sec,clip_start_in_source_sec,clip_end_in_source_sec,labelled_clip_relative_path
0,0,CS_0001_POSTWEAN_d1_p2_cow6_02112025_ch02-20251102075200_684_702.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0001_POSTWEAN_d1_p2_cow6_02112025_ch02-20251102075200_684_702.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0001_POSTWEAN_d1_p2_cow6_02112025_ch02-20251102075200_684_702.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,6,grain feeder|T|None|side,684.424,702.951,684.424,702.951,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102075200.mp4,ch02_20251102075200.mp4,0.0,2810.680667,684.424,702.951,Pen 2 - Group 2/POSTWEANING/Day 1/0001.zip
1,1,CS_0002_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5174_5221.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0002_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5174_5221.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0002_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5174_5221.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,A,other|1|reciprocal|side,5174.871,5221.337,5174.871,5221.337,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102083856.mp4,ch02_20251102083856.mp4,2810.680667,5622.760334,2364.190333,2410.656333,Pen 2 - Group 2/POSTWEANING/Day 1/0002.zip
2,2,CS_0003_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5276_5656_part01.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0003_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5276_5656_part01.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0003_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5276_5656_part01.mp4,skipped_existing,1,2,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,A,other|O|reciprocal|side,5276.121,5656.266,5276.121,5622.760334,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102083856.mp4,ch02_20251102083856.mp4,2810.680667,5622.760334,2465.440333,2812.079667,Pen 2 - Group 2/POSTWEANING/Day 1/0003 - p1.zip
3,3,CS_0003_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5276_5656_part02.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0003_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5276_5656_part02.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0003_POSTWEAN_d1_p2_cowA_02112025_ch02-20251102083856_5276_5656_part02.mp4,skipped_existing,2,2,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,A,other|O|reciprocal|side,5276.121,5656.266,5622.760334,5656.266,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102092612.mp4,ch02_20251102092612.mp4,5622.760334,8423.500001,0.0,33.505666,Pen 2 - Group 2/POSTWEANING/Day 1/0003 - p2.zip
4,5,CS_0005_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102092612_7104_7337.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0005_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102092612_7104_7337.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0005_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102092612_7104_7337.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,T,other|8|None|side,7104.3,7337.292,7104.3,7337.292,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102092612.mp4,ch02_20251102092612.mp4,5622.760334,8423.500001,1481.539666,1714.531666,Pen 2 - Group 2/POSTWEANING/Day 1/0005.zip
5,7,CS_0007_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102092612_7403_7452.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0007_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102092612_7403_7452.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0007_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102092612_7403_7452.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,T,other|3|None|behind,7403.922,7452.745,7403.922,7452.745,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102092612.mp4,ch02_20251102092612.mp4,5622.760334,8423.500001,1781.161666,1829.984666,Pen 2 - Group 2/POSTWEANING/Day 1/0007.zip
6,9,CS_0009_POSTWEAN_d1_p2_cow1_02112025_ch02-20251102101314_8715_8793.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0009_POSTWEAN_d1_p2_cow1_02112025_ch02-20251102101314_8715_8793.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0009_POSTWEAN_d1_p2_cow1_02112025_ch02-20251102101314_8715_8793.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,1,other|/|None|side,8715.858,8793.681,8715.858,8793.681,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102101314.mp4,ch02_20251102101314.mp4,8423.500001,11256.687668,292.357999,370.180999,Pen 2 - Group 2/POSTWEANING/Day 1/0009.zip
7,11,CS_0011_POSTWEAN_d1_p2_cow1_02112025_ch02-20251102101314_8811_8880.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0011_POSTWEAN_d1_p2_cow1_02112025_ch02-20251102101314_8811_8880.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0011_POSTWEAN_d1_p2_cow1_02112025_ch02-20251102101314_8811_8880.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,1,other|/|reciprocal|side,8811.864,8880.333,8811.864,8880.333,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102101314.mp4,ch02_20251102101314.mp4,8423.500001,11256.687668,388.363999,456.832999,Pen 2 - Group 2/POSTWEANING/Day 1/0011.zip
8,13,CS_0013_POSTWEAN_d1_p2_cow3_02112025_ch02-20251102162924_31120_31317.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0013_POSTWEAN_d1_p2_cow3_02112025_ch02-20251102162924_31120_31317.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0013_POSTWEAN_d1_p2_cow3_02112025_ch02-20251102162924_31120_31317.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,3,other|/|None|side,31120.505,31317.212,31120.505,31317.212,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102162924.mp4,ch02_20251102162924.mp4,31041.819337,33890.398004,78.685663,275.392663,Pen 2 - Group 2/POSTWEANING/Day 1/0013.zip
9,14,CS_0014_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102162924_31342_31395.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0014_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102162924_31342_31395.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0014_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102162924_31342_31395.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,T,hay|1|None|side,31342.381,31395.518,31342.381,31395.518,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102162924.mp4,ch02_20251102162924.mp4,31041.819337,33890.398004,300.561663,353.698663,Pen 2 - Group 2/POSTWEANING/Day 1/0014.zip
10,15,CS_0015_POSTWEAN_d1_p2_cow3_02112025_ch02-20251102162924_31359_31452.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0015_POSTWEAN_d1_p2_cow3_02112025_ch02-20251102162924_31359_31452.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0015_POSTWEAN_d1_p2_cow3_02112025_ch02-20251102162924_31359_31452.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,3,other|/|None|side,31359.225,31452.545,31359.225,31452.545,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102162924.mp4,ch02_20251102162924.mp4,31041.819337,33890.398004,317.405663,410.725663,Pen 2 - Group 2/POSTWEANING/Day 1/0015.zip
11,18,CS_0018_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102162924_31395_31694.mp4,Pen 2 - Group 2\POSTWEANING\Day 1\CS_0018_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102162924_31395_31694.mp4,E:\cross_sucking\Pen 2 - Group 2\POSTWEANING\Day 1\CS_0018_POSTWEAN_d1_p2_cowT_02112025_ch02-20251102162924_31395_31694.mp4,skipped_existing,1,1,Pen_2_POSTWEAN_Day_1_02112025,Pen 2 - Group 2,POSTWEAN,1,2,2112025,T,other|1|reciprocal|side,31395.519,31694.247,31395.519,31694.247,G:\MONITORING CROSS SUCKING IN CALVES - KAPPEL - 2025\Pen 2 - Group 2\POSTWEANING\Day 1\ch02_20251102162924.mp4,ch02_20251102162924.mp4,31041.819337,33890.398004,353.699663,652.427663,Pen 2 - Group 2/POSTWEANING/Day 1/0018.zip
